Gene,Cell,Log2FoldChange_5to70,P_value_5to70,-log10(P_value)_5to70
Cbp53E,ensheathing glial cell,-0.9257874,1.0,-0.0
Cbp80,ensheathing glial cell,0.028721523,1.0,-0.0
Cbs,ensheathing glial cell,-1.1376078,1.0,-0.0
Cby,ensheathing glial cell,-0.82725596,1.0,-0.0
Cc2d2a,ensheathing glial cell,-20.808992,1.0,-0.0
Ccdc58,ensheathing glial cell,0.19945955,1.0,-0.0
Ccdc85,ensheathing glial cell,1.0460868,1.0,-0.0
Cchl,ensheathing glial cell,-0.95789886,1.0,-0.0
Ccm3,ensheathing glial cell,-0.46784925,1.0,-0.0
Ccn,ensheathing glial cell,0.9710433,0.11550202446149394,0.9374104036094958
Ccp84Aa,ensheathing glial cell,0.0,1.0,-0.0
Ccp84Ab,ensheathing glial cell,0.0,1.0,-0.0
Ccp84Ac,ensheathing glial cell,0.0,1.0,-0.0
Ccp84Ad,ensheathing glial cell,0.0,1.0,-0.0
Ccp84Ae,ensheathing glial cell,0.0,1.0,-0.0
Ccp84Ag,ensheathing glial cell,0.0,1.0,-0.0
Ccs,ensheathing glial cell,0.021873705,1.0,-0.0
Ccz1,ensheathing glial cell,-0.37777182,1.0,-0.0
CdGAPr,ensheathing glial cell,1.7594904,3.689818474477376e-13,12.432994999009498
Cda4,ensheathing glial cell,0.033976924,1.0,-0.0
Cda5,ensheathing glial cell,1.7035713,0.05918112665045489,1.2278167712906596
Cda9,ensheathing glial cell,0.0,1.0,-0.0
Cdc16,ensheathing glial cell,1.3715098,1.0,-0.0
Cdc23,ensheathing glial cell,-0.20235306,1.0,-0.0
Cdc27,ensheathing glial cell,0.3749009,1.0,-0.0
Cdc2rk,ensheathing glial cell,-1.4799156,1.0,-0.0
Cdc37,ensheathing glial cell,-1.1324456,1.0,-0.0
Cdc42,ensheathing glial cell,0.258177,1.0,-0.0
Cdc45,ensheathing glial cell,-0.63668656,1.0,-0.0
Cdc5,ensheathing glial cell,0.6070492,1.0,-0.0
Cdc6,ensheathing glial cell,0.0,1.0,-0.0
Cdc7,ensheathing glial cell,-1.3825811,1.0,-0.0
Cdep,ensheathing glial cell,0.781639,0.0005229339761999668,3.281553140161554
Cdk1,ensheathing glial cell,0.0,1.0,-0.0
Cdk12,ensheathing glial cell,0.2177611,1.0,-0.0
Cdk2,ensheathing glial cell,0.028200703,1.0,-0.0
Cdk4,ensheathing glial cell,0.88391286,0.5815270424059333,0.23543008472813926
Cdk5,ensheathing glial cell,0.052516684,1.0,-0.0
Cdk5alpha,ensheathing glial cell,-0.94406134,1.0,-0.0
Cdk7,ensheathing glial cell,-0.017070036,1.0,-0.0
Cdk8,ensheathing glial cell,-0.6586011,1.0,-0.0
Cdk9,ensheathing glial cell,-0.0150420265,1.0,-0.0
Cdlc2,ensheathing glial cell,0.0,1.0,-0.0
Cds,ensheathing glial cell,-1.0989144,0.8398586363409363,0.07579380753765083
CecA1,ensheathing glial cell,20.72962,1.0,-0.0
CecA2,ensheathing glial cell,1.334355,1.0,-0.0
CecB,ensheathing glial cell,20.331135,1.0,-0.0
CecC,ensheathing glial cell,20.637363,1.0,-0.0
Ced-12,ensheathing glial cell,0.042518865,1.0,-0.0
Cen,ensheathing glial cell,-0.64590454,1.0,-0.0
CenB1A,ensheathing glial cell,0.33319092,1.0,-0.0
CenG1A,ensheathing glial cell,0.80471575,0.019878029863013888,1.7016266612878523
Cenp-C,ensheathing glial cell,0.53018224,1.0,-0.0
Cep135,ensheathing glial cell,22.540258,1.0,-0.0
Cep89,ensheathing glial cell,0.0,1.0,-0.0
Cep97,ensheathing glial cell,0.82842964,1.0,-0.0
Cerk,ensheathing glial cell,-0.020411776,1.0,-0.0
Cf2,ensheathing glial cell,0.40056103,0.11415352926557489,0.9425106569563096
Cfp1,ensheathing glial cell,0.75306237,1.0,-0.0
ChAT,ensheathing glial cell,-1.5785207,1.0,-0.0
ChLD3,ensheathing glial cell,19.227228,1.0,-0.0
ChT,ensheathing glial cell,-1.9666635,1.0,-0.0
Charon,ensheathing glial cell,1.5042266,1.0,-0.0
Chc,ensheathing glial cell,1.0008411,0.025891433638803998,1.586843901508594
Chchd2,ensheathing glial cell,-0.56554693,1.0,-0.0
Chchd3,ensheathing glial cell,-1.6516908,1.0,-0.0
Chd1,ensheathing glial cell,0.8873935,0.09756522597450681,1.010704945226848
Chd3,ensheathing glial cell,19.127766,1.0,-0.0
Chd64,ensheathing glial cell,-0.6454254,0.10946590207660596,0.9607211396925146
CheA29a,ensheathing glial cell,0.0,1.0,-0.0
CheA46a,ensheathing glial cell,0.0,1.0,-0.0
CheA56a,ensheathing glial cell,0.0,1.0,-0.0
CheA75a,ensheathing glial cell,0.0,1.0,-0.0
CheA7a,ensheathing glial cell,0.0,1.0,-0.0
CheA84a,ensheathing glial cell,0.0,1.0,-0.0
CheA86a,ensheathing glial cell,20.786676,1.0,-0.0
CheA87a,ensheathing glial cell,-1.3816348,1.0,-0.0
CheB38a,ensheathing glial cell,0.0,1.0,-0.0
CheB38b,ensheathing glial cell,0.0,1.0,-0.0
CheB38c,ensheathing glial cell,0.0,1.0,-0.0
CheB42a,ensheathing glial cell,21.717987,1.0,-0.0
CheB42b,ensheathing glial cell,0.38911092,1.0,-0.0
CheB42c,ensheathing glial cell,0.9496126,1.0,-0.0
CheB53a,ensheathing glial cell,24.842781,1.0,-0.0
CheB53b,ensheathing glial cell,21.23737,1.0,-0.0
CheB74a,ensheathing glial cell,19.43556,1.0,-0.0
CheB93a,ensheathing glial cell,0.0,1.0,-0.0
CheB93b,ensheathing glial cell,0.0,1.0,-0.0
CheB98a,ensheathing glial cell,0.0,1.0,-0.0
Chi,ensheathing glial cell,-0.34802657,1.0,-0.0
Chmp1,ensheathing glial cell,-0.15229629,1.0,-0.0
Chrac-14,ensheathing glial cell,2.25154,1.0,-0.0
Chrac-16,ensheathing glial cell,-0.029263685,1.0,-0.0
Chro,ensheathing glial cell,0.785475,1.0,-0.0
Chs2,ensheathing glial cell,0.0,1.0,-0.0
Cht10,ensheathing glial cell,4.0078855,0.6156610607020243,0.21065831377416003
Cht11,ensheathing glial cell,1.1902785,1.0,-0.0
Cht12,ensheathing glial cell,0.0,1.0,-0.0
Cht2,ensheathing glial cell,-2.4133813,1.0,-0.0
Cht4,ensheathing glial cell,0.0,1.0,-0.0
Cht5,ensheathing glial cell,-1.8293678,1.0,-0.0
Cht6,ensheathing glial cell,1.5055361,1.0,-0.0
Cht7,ensheathing glial cell,18.86346,1.0,-0.0
Cht8,ensheathing glial cell,0.0,1.0,-0.0
Cht9,ensheathing glial cell,0.0,1.0,-0.0
Ciao1,ensheathing glial cell,-0.35309082,1.0,-0.0
Cib2,ensheathing glial cell,-0.08812742,1.0,-0.0
Cip4,ensheathing glial cell,0.4749632,0.0015999810625177467,2.7958851576520227
Cirl,ensheathing glial cell,0.8427066,4.0057804210590585e-07,6.397312860468304
Cisd2,ensheathing glial cell,-1.304269,1.0,-0.0
CkIIalpha,ensheathing glial cell,0.7509196,0.10703656148413121,0.9704678509257836
CkIIalpha-i1,ensheathing glial cell,1.4682055,1.0,-0.0
CkIIalpha-i3,ensheathing glial cell,-0.14519234,1.0,-0.0
CkIIbeta,ensheathing glial cell,0.023261018,1.0,-0.0
CkIIbeta2,ensheathing glial cell,0.0,1.0,-0.0
CkIalpha,ensheathing glial cell,0.2612913,0.7239443523420351,0.14029481557026396
Cka,ensheathing glial cell,0.14549379,1.0,-0.0
Cks30A,ensheathing glial cell,-3.2102547,1.0,-0.0
Cks85A,ensheathing glial cell,-0.20919572,1.0,-0.0
ClC-a,ensheathing glial cell,1.0063024,2.7878640848088904e-18,17.554728402975872
ClC-b,ensheathing glial cell,0.48660058,1.0,-0.0
ClC-c,ensheathing glial cell,0.40792117,1.0,-0.0
Clamp,ensheathing glial cell,0.78267026,0.7038571410597879,0.15251547884835306
Claspin,ensheathing glial cell,19.71392,1.0,-0.0
Clbn,ensheathing glial cell,0.17041591,1.0,-0.0
Clc,ensheathing glial cell,-0.42228997,1.0,-0.0
Clic,ensheathing glial cell,0.50222725,0.7630375152528733,0.11745410913976756
Clk,ensheathing glial cell,-0.23393856,1.0,-0.0
Cln3,ensheathing glial cell,-0.9510109,1.0,-0.0
Cln7,ensheathing glial cell,-0.8888678,1.0,-0.0
Clp,ensheathing glial cell,-0.873223,1.0,-0.0
ClpP,ensheathing glial cell,-0.104523115,1.0,-0.0
Cluap1,ensheathing glial cell,-20.808992,1.0,-0.0
Cnb,ensheathing glial cell,0.354247,1.0,-0.0
Cndp2,ensheathing glial cell,0.49228314,1.0,-0.0
CngA,ensheathing glial cell,0.8466579,1.0,-0.0
CngB,ensheathing glial cell,-1.5138793,1.0,-0.0
Cngl,ensheathing glial cell,2.0303235,0.2162147818556274,0.6651146181584685
Cnot4,ensheathing glial cell,0.82123387,0.015026411851683283,1.8231447119649036
Cnx14D,ensheathing glial cell,-20.845371,1.0,-0.0
Cnx99A,ensheathing glial cell,-0.62871855,1.0,-0.0
CoRest,ensheathing glial cell,-0.0020641917,1.0,-0.0
Coa7,ensheathing glial cell,-0.3405604,1.0,-0.0
Coa8,ensheathing glial cell,-1.2041701,1.0,-0.0
Cog1,ensheathing glial cell,0.53816247,1.0,-0.0
Cog2,ensheathing glial cell,-0.3096032,1.0,-0.0
Cog3,ensheathing glial cell,-0.42781228,1.0,-0.0
Cog4,ensheathing glial cell,1.0127627,1.0,-0.0
Cog6,ensheathing glial cell,0.39519176,1.0,-0.0
Cog7,ensheathing glial cell,0.58430374,1.0,-0.0
Cog8,ensheathing glial cell,0.796736,1.0,-0.0
Col4a1,ensheathing glial cell,-0.061642665,1.0,-0.0
Con,ensheathing glial cell,0.85297143,0.2139021786523191,0.6697847919976089
Cont,ensheathing glial cell,1.0673088,1.0,-0.0
Coop,ensheathing glial cell,-1.7703389,1.0,-0.0
Coprox,ensheathing glial cell,-0.80800664,1.0,-0.0
Coq2,ensheathing glial cell,-0.6689451,1.0,-0.0
Coq3,ensheathing glial cell,-0.6329572,1.0,-0.0
Coq4,ensheathing glial cell,20.15773,1.0,-0.0
Coq5,ensheathing glial cell,0.081072286,1.0,-0.0
Coq6,ensheathing glial cell,-1.6793145,1.0,-0.0
Coq7,ensheathing glial cell,0.6528888,0.0964359508158307,1.0157610332101736
Coq8,ensheathing glial cell,-0.3332264,1.0,-0.0
Coq9,ensheathing glial cell,-0.39316073,1.0,-0.0
Corin,ensheathing glial cell,0.6449996,0.35051837067894986,0.4552892157132369
Corp,ensheathing glial cell,1.6062236,1.0,-0.0
Cortactin,ensheathing glial cell,1.2513962,1.0,-0.0
Cow,ensheathing glial cell,-1.4603379,0.058924911634875975,1.2297010600809324
Cp1,ensheathing glial cell,-0.24925433,1.0,-0.0
Cp110,ensheathing glial cell,0.3248331,0.3201074452562109,0.4947042246497263
Cp15,ensheathing glial cell,0.0,1.0,-0.0
Cp16,ensheathing glial cell,0.0,1.0,-0.0
Cp18,ensheathing glial cell,20.585735,1.0,-0.0
Cp19,ensheathing glial cell,-21.031992,1.0,-0.0
Cp190,ensheathing glial cell,0.09348428,1.0,-0.0
Cp36,ensheathing glial cell,0.0,1.0,-0.0
Cp38,ensheathing glial cell,0.0,1.0,-0.0
Cp7Fa,ensheathing glial cell,0.0,1.0,-0.0
Cp7Fb,ensheathing glial cell,21.10967,1.0,-0.0
Cp7Fc,ensheathing glial cell,0.0,1.0,-0.0
Cpes,ensheathing glial cell,-0.21495104,1.0,-0.0
Cpn,ensheathing glial cell,-2.0939333,1.0,-0.0
Cpr,ensheathing glial cell,-0.17046106,1.0,-0.0
Cpr100A,ensheathing glial cell,0.06027888,1.0,-0.0
Cpr11A,ensheathing glial cell,0.0,1.0,-0.0
Cpr11B,ensheathing glial cell,1.4539725,1.0,-0.0
Cpr23B,ensheathing glial cell,0.0,1.0,-0.0
Cpr30B,ensheathing glial cell,0.0,1.0,-0.0
Cpr30F,ensheathing glial cell,0.0,1.0,-0.0
Cpr31A,ensheathing glial cell,0.0,1.0,-0.0
Cpr35B,ensheathing glial cell,20.400398,1.0,-0.0
Cpr47Ea,ensheathing glial cell,0.0,1.0,-0.0
Cpr47Eb,ensheathing glial cell,0.0,1.0,-0.0
Cpr47Ec,ensheathing glial cell,0.0,1.0,-0.0
Cpr47Ee,ensheathing glial cell,0.024756191,1.0,-0.0
Cpr47Ef,ensheathing glial cell,19.115139,1.0,-0.0
Cpr47Eg,ensheathing glial cell,-20.866924,1.0,-0.0
Cpr49Aa,ensheathing glial cell,0.0,1.0,-0.0
Cpr49Ab,ensheathing glial cell,0.0,1.0,-0.0
Cpr49Ac,ensheathing glial cell,0.0,1.0,-0.0
Cpr49Ae,ensheathing glial cell,-3.4121172,1.0,-0.0
Cpr49Af,ensheathing glial cell,-3.8035955,1.0,-0.0
Cpr49Ag,ensheathing glial cell,-5.669909,0.4942472527615868,0.3060557360027559
Cpr49Ah,ensheathing glial cell,0.0,1.0,-0.0
Cpr50Ca,ensheathing glial cell,20.244818,1.0,-0.0
Cpr50Cb,ensheathing glial cell,-2.6888676,1.0,-0.0
Cpr51A,ensheathing glial cell,2.9419467,1.0,-0.0
Cpr56F,ensheathing glial cell,0.0,1.0,-0.0
Cpr5C,ensheathing glial cell,0.0,1.0,-0.0
Cpr60D,ensheathing glial cell,-0.57387817,1.0,-0.0
Cpr62Ba,ensheathing glial cell,-20.96741,1.0,-0.0
Cpr62Bb,ensheathing glial cell,-2.2038655,1.0,-0.0
Cpr62Bc,ensheathing glial cell,-20.98375,1.0,-0.0
Cpr64Aa,ensheathing glial cell,19.20564,1.0,-0.0
Cpr64Ab,ensheathing glial cell,20.2719,1.0,-0.0
Cpr64Ac,ensheathing glial cell,19.389061,1.0,-0.0
Cpr64Ad,ensheathing glial cell,23.07194,1.0,-0.0
Cpr65Au,ensheathing glial cell,-1.8058859,0.987622228363487,0.0054091439861906265
Cpr65Av,ensheathing glial cell,0.0,1.0,-0.0
Cpr65Aw,ensheathing glial cell,0.0,1.0,-0.0
Cpr65Ax2,ensheathing glial cell,0.0,1.0,-0.0
Cpr65Ea,ensheathing glial cell,0.0,1.0,-0.0
Cpr65Eb,ensheathing glial cell,0.0,1.0,-0.0
Cpr65Ec,ensheathing glial cell,0.0,1.0,-0.0
Cpr66Cb,ensheathing glial cell,0.0,1.0,-0.0
Cpr66D,ensheathing glial cell,19.573597,1.0,-0.0
Cpr67B,ensheathing glial cell,-0.88396347,1.0,-0.0
Cpr67Fa1,ensheathing glial cell,0.0,1.0,-0.0
Cpr67Fa2,ensheathing glial cell,0.0,1.0,-0.0
Cpr67Fb,ensheathing glial cell,20.270569,1.0,-0.0
Cpr72Ea,ensheathing glial cell,0.0,1.0,-0.0
Cpr72Ec,ensheathing glial cell,-1.9004785,0.03449657358754123,1.4622240395911714
Cpr73D,ensheathing glial cell,-0.96377593,1.0,-0.0
Cpr76Ba,ensheathing glial cell,0.0,1.0,-0.0
Cpr76Bb,ensheathing glial cell,0.0,1.0,-0.0
Cpr76Bc,ensheathing glial cell,-21.910978,1.0,-0.0
Cpr76Bd,ensheathing glial cell,19.203144,1.0,-0.0
Cpr78Ca,ensheathing glial cell,0.0,1.0,-0.0
Cpr78Cb,ensheathing glial cell,0.0,1.0,-0.0
Cpr78Cc,ensheathing glial cell,0.0,1.0,-0.0
Cpr78E,ensheathing glial cell,0.0,1.0,-0.0
Cpr92A,ensheathing glial cell,0.0,1.0,-0.0
Cpr92F,ensheathing glial cell,-2.2133844,1.0,-0.0
Cpr97Ea,ensheathing glial cell,-1.701661,1.0,-0.0
Cpr97Eb,ensheathing glial cell,-21.51368,1.0,-0.0
Cpsf100,ensheathing glial cell,0.004771869,1.0,-0.0
Cpsf160,ensheathing glial cell,0.5652554,1.0,-0.0
Cpsf5,ensheathing glial cell,-0.2229072,1.0,-0.0
Cpsf6,ensheathing glial cell,0.2804273,0.8867171674049905,0.052214883238112846
Cpsf73,ensheathing glial cell,-0.121168494,1.0,-0.0
Crag,ensheathing glial cell,0.46017462,1.0,-0.0
Cralbp,ensheathing glial cell,0.40410325,1.0,-0.0
CrebA,ensheathing glial cell,0.33838135,0.17233306380019653,0.7636313908724058
CrebB,ensheathing glial cell,0.56133205,0.11422081191237096,0.9422547570778373
Crg-1,ensheathing glial cell,-1.417789,1.0,-0.0
Crk,ensheathing glial cell,0.65257776,0.8340959758822482,0.07878397406503042
Crtc,ensheathing glial cell,-0.2569318,1.0,-0.0
Crtp,ensheathing glial cell,0.0,1.0,-0.0
Crys,ensheathing glial cell,-21.759811,1.0,-0.0
Crz,ensheathing glial cell,-0.38166434,1.0,-0.0
CrzR,ensheathing glial cell,-0.5013973,1.0,-0.0
Csas,ensheathing glial cell,-0.30834848,1.0,-0.0
Cse1,ensheathing glial cell,0.7554076,1.0,-0.0
Csk,ensheathing glial cell,0.82575655,6.298310162387976e-08,7.2007759561960105
Csl4,ensheathing glial cell,-0.5259527,1.0,-0.0
Csp,ensheathing glial cell,-0.083412774,1.0,-0.0
CstF50,ensheathing glial cell,-0.99675953,1.0,-0.0
CstF64,ensheathing glial cell,-0.7638295,1.0,-0.0
CtBP,ensheathing glial cell,0.502294,0.0013943491999969047,2.8556284481606227
CtIP,ensheathing glial cell,-0.033287454,1.0,-0.0
Ctf4,ensheathing glial cell,21.307295,1.0,-0.0
Ctl1,ensheathing glial cell,0.058399707,1.0,-0.0
Ctl2,ensheathing glial cell,0.46981347,1.0,-0.0
Ctr1A,ensheathing glial cell,0.5742441,0.35279274344896877,0.4524803563987255
Ctr1B,ensheathing glial cell,0.4815788,1.0,-0.0
Ctr1C,ensheathing glial cell,0.30263418,1.0,-0.0
Ctr9,ensheathing glial cell,-1.6973857,0.6393808753762569,0.1942403581218468
CtsB1,ensheathing glial cell,-0.52870375,1.0,-0.0
Cubn,ensheathing glial cell,-0.03507628,1.0,-0.0
Cul1,ensheathing glial cell,0.39638934,0.4487542505627354,0.34799142479312667
Cul2,ensheathing glial cell,0.4214776,1.0,-0.0
Cul3,ensheathing glial cell,0.45715287,1.0,-0.0
Cul4,ensheathing glial cell,0.6448371,1.0,-0.0
Cul5,ensheathing glial cell,-0.23514211,1.0,-0.0
Cul6,ensheathing glial cell,19.789042,1.0,-0.0
Culd,ensheathing glial cell,1.4426967,0.18273120547988544,0.7381872807237233
Cwc25,ensheathing glial cell,-0.57318974,1.0,-0.0
CycA,ensheathing glial cell,0.6962888,1.0,-0.0
CycB,ensheathing glial cell,18.371635,1.0,-0.0
CycB3,ensheathing glial cell,19.78122,1.0,-0.0
CycC,ensheathing glial cell,0.72184294,1.0,-0.0
CycD,ensheathing glial cell,0.7343479,1.0,-0.0
CycE,ensheathing glial cell,0.6823989,1.0,-0.0
CycG,ensheathing glial cell,0.053314753,1.0,-0.0
CycH,ensheathing glial cell,0.7931203,1.0,-0.0
CycJ,ensheathing glial cell,-0.22393855,1.0,-0.0
CycK,ensheathing glial cell,0.7407218,1.0,-0.0
CycT,ensheathing glial cell,-0.1746941,1.0,-0.0
CycY,ensheathing glial cell,0.068132885,1.0,-0.0
Cyp1,ensheathing glial cell,-0.5065691,0.07918040960945409,1.1013822559222137
Cyp12a4,ensheathing glial cell,-1.5621731,1.0,-0.0
Cyp12a5,ensheathing glial cell,1.9454213,1.0,-0.0
Cyp12b2,ensheathing glial cell,0.6477351,1.0,-0.0
Cyp12c1,ensheathing glial cell,-0.20971519,1.0,-0.0
Cyp12d1-d,ensheathing glial cell,0.0,1.0,-0.0
Cyp12d1-p,ensheathing glial cell,20.452852,1.0,-0.0
Cyp12e1,ensheathing glial cell,0.088989586,1.0,-0.0
Cyp18a1,ensheathing glial cell,0.41287935,1.0,-0.0
Cyp28a5,ensheathing glial cell,0.4452145,0.8880740626785677,0.051550813870782454
Cyp28c1,ensheathing glial cell,-1.3385204,1.0,-0.0
Cyp28d1,ensheathing glial cell,-0.10928565,1.0,-0.0
Cyp28d2,ensheathing glial cell,-1.5757895,1.0,-0.0
Cyp301a1,ensheathing glial cell,-21.050087,1.0,-0.0
Cyp303a1,ensheathing glial cell,20.947737,1.0,-0.0
Cyp304a1,ensheathing glial cell,-1.6376146,1.0,-0.0
Cyp305a1,ensheathing glial cell,-1.521119,1.0,-0.0
Cyp308a1,ensheathing glial cell,-2.0018418,1.0,-0.0
Cyp309a1,ensheathing glial cell,-2.9452474,1.0,-0.0
Cyp309a2,ensheathing glial cell,21.416782,1.0,-0.0
Cyp310a1,ensheathing glial cell,0.6723983,1.0,-0.0
Cyp311a1,ensheathing glial cell,-1.8533118,1.0,-0.0
Cyp312a1,ensheathing glial cell,2.3593488,1.0,-0.0
Cyp313a1,ensheathing glial cell,-1.8457295,1.0,-0.0
Cyp313a2,ensheathing glial cell,19.331635,1.0,-0.0
Cyp313a3,ensheathing glial cell,0.0,1.0,-0.0
Cyp313a4,ensheathing glial cell,0.08398735,1.0,-0.0
Cyp313a5,ensheathing glial cell,0.0,1.0,-0.0
Cyp313b1,ensheathing glial cell,19.609459,1.0,-0.0
Cyp316a1,ensheathing glial cell,0.0,1.0,-0.0
Cyp317a1,ensheathing glial cell,-0.7714547,1.0,-0.0
Cyp318a1,ensheathing glial cell,19.126354,1.0,-0.0
Cyp49a1,ensheathing glial cell,1.647948,1.0,-0.0
Cyp4aa1,ensheathing glial cell,-0.25741157,1.0,-0.0
Cyp4ac1,ensheathing glial cell,1.0844609,1.0,-0.0
Cyp4ac2,ensheathing glial cell,0.33155498,1.0,-0.0
Cyp4ac3,ensheathing glial cell,2.1353638,1.0,-0.0
Cyp4ad1,ensheathing glial cell,0.0,1.0,-0.0
Cyp4ae1,ensheathing glial cell,-0.28784803,1.0,-0.0
Cyp4c3,ensheathing glial cell,-1.0725135,1.0,-0.0
Cyp4d1,ensheathing glial cell,0.23311079,1.0,-0.0
Cyp4d14,ensheathing glial cell,1.6770071,1.0,-0.0
Cyp4d2,ensheathing glial cell,-0.7291656,1.0,-0.0
Cyp4d20,ensheathing glial cell,-0.35199046,1.0,-0.0
Cyp4d21,ensheathing glial cell,-2.0578482,1.0,-0.0
Cyp4d8,ensheathing glial cell,-2.2372012,1.0,-0.0
Cyp4e1,ensheathing glial cell,0.7768066,1.0,-0.0
Cyp4e2,ensheathing glial cell,-0.53274304,1.0,-0.0
Cyp4e3,ensheathing glial cell,21.413408,1.0,-0.0
Cyp4g1,ensheathing glial cell,-21.555231,1.0,-0.0
Cyp4g15,ensheathing glial cell,0.16215101,1.0,-0.0
Cyp4p1,ensheathing glial cell,-1.3475988,1.0,-0.0
Cyp4p2,ensheathing glial cell,20.51423,1.0,-0.0
Cyp4p3,ensheathing glial cell,1.7663372,1.0,-0.0
Cyp4s3,ensheathing glial cell,0.65151316,1.0,-0.0
Cyp6a13,ensheathing glial cell,0.56760913,1.0,-0.0
Cyp6a14,ensheathing glial cell,1.3340379,1.0,-0.0
Cyp6a15Psi,ensheathing glial cell,1.9983617,1.0,-0.0
Cyp6a16,ensheathing glial cell,0.0,1.0,-0.0
Cyp6a17,ensheathing glial cell,0.0,1.0,-0.0
Cyp6a18,ensheathing glial cell,0.0,1.0,-0.0
Cyp6a19,ensheathing glial cell,21.649897,1.0,-0.0
Cyp6a2,ensheathing glial cell,-0.36750194,1.0,-0.0
Cyp6a20,ensheathing glial cell,-0.15204994,1.0,-0.0
Cyp6a21,ensheathing glial cell,-0.42439485,1.0,-0.0
Cyp6a22,ensheathing glial cell,0.6579353,1.0,-0.0
Cyp6a23,ensheathing glial cell,-0.68359596,1.0,-0.0
Cyp6a8,ensheathing glial cell,-0.2571434,1.0,-0.0
Cyp6a9,ensheathing glial cell,-0.28917027,1.0,-0.0
Cyp6d2,ensheathing glial cell,20.447556,1.0,-0.0
Cyp6d4,ensheathing glial cell,0.1505625,1.0,-0.0
Cyp6d5,ensheathing glial cell,0.15174891,1.0,-0.0
Cyp6g1,ensheathing glial cell,-1.2918581,1.0,-0.0
Cyp6g2,ensheathing glial cell,-0.53056145,1.0,-0.0
Cyp6t1,ensheathing glial cell,-0.41856775,1.0,-0.0
Cyp6t2Psi,ensheathing glial cell,1.2285873,1.0,-0.0
Cyp6t3,ensheathing glial cell,-1.304099,1.0,-0.0
Cyp6u1,ensheathing glial cell,-0.27435228,1.0,-0.0
Cyp6v1,ensheathing glial cell,0.6379738,1.0,-0.0
Cyp6w1,ensheathing glial cell,0.61763114,0.3996916066223844,0.3982749716694839
Cyp9b1,ensheathing glial cell,-0.25897998,1.0,-0.0
Cyp9b2,ensheathing glial cell,-1.2848314,1.0,-0.0
Cyp9c1,ensheathing glial cell,-1.2650809,1.0,-0.0
Cyp9f2,ensheathing glial cell,0.17213102,1.0,-0.0
Cyp9f3,ensheathing glial cell,1.0832745,1.0,-0.0
Cyp9h1,ensheathing glial cell,-0.6000737,1.0,-0.0
Cypl,ensheathing glial cell,-1.5225024,1.0,-0.0
Cys,ensheathing glial cell,-1.7164042,0.009234513985982191,2.0345859566136015
CysRS,ensheathing glial cell,0.8242835,1.0,-0.0
CysRS-m,ensheathing glial cell,0.51960164,1.0,-0.0
Cyt-b5,ensheathing glial cell,-0.2517883,1.0,-0.0
Cyt-b5-r,ensheathing glial cell,-0.63173914,1.0,-0.0
Cyt-c-d,ensheathing glial cell,20.017115,1.0,-0.0
Cyt-c-p,ensheathing glial cell,-1.1945338,2.2821789835924695e-06,5.641650298332191
Cyt-c1,ensheathing glial cell,-0.33918348,1.0,-0.0
Cyt-c1L,ensheathing glial cell,0.0,1.0,-0.0
D,ensheathing glial cell,-0.92795676,1.0,-0.0
D1,ensheathing glial cell,-1.2646167,1.0,-0.0
D12,ensheathing glial cell,0.8110013,1.0,-0.0
D19A,ensheathing glial cell,-0.57876563,1.0,-0.0
D19B,ensheathing glial cell,0.709216,1.0,-0.0
D2hgdh,ensheathing glial cell,-0.28532335,1.0,-0.0
DAAM,ensheathing glial cell,0.8641069,0.02603480731321888,1.5844456322427711
DAT,ensheathing glial cell,0.62129104,1.0,-0.0
DCAF12,ensheathing glial cell,2.0806262,1.0,-0.0
DCP1,ensheathing glial cell,-1.1435153,1.0,-0.0
DCP2,ensheathing glial cell,0.44125086,0.22514934678946527,0.6475293086883558
DCTN1-p150,ensheathing glial cell,0.75078154,1.0,-0.0
DCTN2-p50,ensheathing glial cell,-0.2630249,1.0,-0.0
DCTN3-p24,ensheathing glial cell,-0.41189647,1.0,-0.0
DCTN4-p62,ensheathing glial cell,0.50614065,1.0,-0.0
DCTN5-p25,ensheathing glial cell,-0.682168,1.0,-0.0
DCTN6-p27,ensheathing glial cell,-0.01059827,1.0,-0.0
DCX-EMAP,ensheathing glial cell,1.6735336,1.0,-0.0
DEF8,ensheathing glial cell,-1.1871566,1.0,-0.0
DENR,ensheathing glial cell,-1.2954493,1.0,-0.0
DIP-alpha,ensheathing glial cell,2.025614,1.0,-0.0
DIP-beta,ensheathing glial cell,0.2337804,1.0,-0.0
DIP-delta,ensheathing glial cell,0.56111985,1.0,-0.0
DIP-epsilon,ensheathing glial cell,0.4952086,1.0,-0.0
DIP-eta,ensheathing glial cell,0.513727,1.0,-0.0
DIP-gamma,ensheathing glial cell,1.2535101,1.0,-0.0
DIP-iota,ensheathing glial cell,-1.4617056,1.0,-0.0
DIP-kappa,ensheathing glial cell,0.6158563,1.0,-0.0
DIP-lambda,ensheathing glial cell,1.7808365,2.2767354706465707e-33,32.64268742626333
DIP-theta,ensheathing glial cell,1.0153648,1.0,-0.0
DIP-zeta,ensheathing glial cell,0.1563039,1.0,-0.0
DIP1,ensheathing glial cell,-0.05189616,1.0,-0.0
DIP2,ensheathing glial cell,1.2055962,0.05390064857270689,1.26840600902749
DJ-1alpha,ensheathing glial cell,-0.29698753,1.0,-0.0
