Gene,Cell,Log2FoldChange_5to70,P_value_5to70,-log10(P_value)_5to70
Adat1,ensheathing glial cell,0.8512101,1.0,-0.0
Adck1,ensheathing glial cell,0.4426829,1.0,-0.0
Adck5,ensheathing glial cell,0.41811848,1.0,-0.0
AdenoK,ensheathing glial cell,-0.04741314,1.0,-0.0
Adf1,ensheathing glial cell,0.8478917,1.0,-0.0
Adgf-A,ensheathing glial cell,0.28639516,1.0,-0.0
Adgf-A2,ensheathing glial cell,18.979546,1.0,-0.0
Adgf-B,ensheathing glial cell,0.0,1.0,-0.0
Adgf-C,ensheathing glial cell,-2.4570172,1.0,-0.0
Adgf-D,ensheathing glial cell,-1.272162,1.0,-0.0
Adgf-E,ensheathing glial cell,0.0,1.0,-0.0
Adh,ensheathing glial cell,0.70510316,0.3652366984861653,0.43742559162706723
Adi1,ensheathing glial cell,-0.1524784,1.0,-0.0
AdipoR,ensheathing glial cell,-0.32630667,1.0,-0.0
Adk1,ensheathing glial cell,-0.19142543,1.0,-0.0
Adk2,ensheathing glial cell,-1.1468786,1.0,-0.0
Adk3,ensheathing glial cell,0.27214122,1.0,-0.0
AdoR,ensheathing glial cell,-0.63113195,1.0,-0.0
Aduk,ensheathing glial cell,1.0119203,1.0,-0.0
Ady43A,ensheathing glial cell,-0.60116667,1.0,-0.0
Ae2,ensheathing glial cell,-1.3130091,1.0,-0.0
Aef1,ensheathing glial cell,0.37489393,1.0,-0.0
Afti,ensheathing glial cell,0.2361009,1.0,-0.0
Ag5r,ensheathing glial cell,-0.2648818,1.0,-0.0
Ag5r2,ensheathing glial cell,0.0,1.0,-0.0
AgmNAT,ensheathing glial cell,20.347082,1.0,-0.0
Agpat1,ensheathing glial cell,0.39659086,1.0,-0.0
Agpat2,ensheathing glial cell,0.5653769,1.0,-0.0
Agpat3,ensheathing glial cell,-0.19411844,1.0,-0.0
Agpat4,ensheathing glial cell,-21.718008,1.0,-0.0
Ahcy,ensheathing glial cell,-1.1211152,1.0,-0.0
AhcyL1,ensheathing glial cell,0.5202356,1.0,-0.0
AhcyL2,ensheathing glial cell,1.6562337,1.0,-0.0
Ak6,ensheathing glial cell,-0.59358346,1.0,-0.0
Akap200,ensheathing glial cell,0.8180291,0.043621523495580516,1.360299170619547
Akh,ensheathing glial cell,0.4591449,1.0,-0.0
AkhR,ensheathing glial cell,-0.34050274,1.0,-0.0
Akr1B,ensheathing glial cell,-0.7687804,1.0,-0.0
Akt1,ensheathing glial cell,0.69329244,0.09651447501286346,1.0154075473113635
AlaRS,ensheathing glial cell,0.28282225,1.0,-0.0
AlaRS-m,ensheathing glial cell,-0.7805159,1.0,-0.0
Aladin,ensheathing glial cell,22.42945,1.0,-0.0
Alas,ensheathing glial cell,-1.4487503,1.0,-0.0
Ald1,ensheathing glial cell,-0.88077897,3.9722331777489077e-13,12.400965265504631
Ald2,ensheathing glial cell,0.0,1.0,-0.0
Aldh,ensheathing glial cell,-0.41543454,1.0,-0.0
Aldh-III,ensheathing glial cell,0.30710396,1.0,-0.0
Aldh7A1,ensheathing glial cell,-1.3661814,1.0,-0.0
Alg-2,ensheathing glial cell,0.9485112,0.13080531531795747,0.8833746079509237
Alg1,ensheathing glial cell,-0.32294968,1.0,-0.0
Alg10,ensheathing glial cell,-1.0665108,1.0,-0.0
Alg11,ensheathing glial cell,-0.23086411,1.0,-0.0
Alg14,ensheathing glial cell,0.085672356,1.0,-0.0
Alg2,ensheathing glial cell,0.44256532,1.0,-0.0
Alg3,ensheathing glial cell,-1.0249808,1.0,-0.0
Alg9,ensheathing glial cell,1.0008671,1.0,-0.0
Alh,ensheathing glial cell,0.9879693,7.24582439705025e-05,4.139912195324419
Alk,ensheathing glial cell,-0.28921083,1.0,-0.0
AlkB,ensheathing glial cell,-0.24677265,1.0,-0.0
Alp1,ensheathing glial cell,0.0,1.0,-0.0
Alp10,ensheathing glial cell,0.0,1.0,-0.0
Alp11,ensheathing glial cell,21.133686,1.0,-0.0
Alp12,ensheathing glial cell,0.753686,1.0,-0.0
Alp13,ensheathing glial cell,0.0,1.0,-0.0
Alp2,ensheathing glial cell,0.0,1.0,-0.0
Alp4,ensheathing glial cell,0.25066057,1.0,-0.0
Alp5,ensheathing glial cell,0.0,1.0,-0.0
Alp6,ensheathing glial cell,-20.47629,1.0,-0.0
Alp8,ensheathing glial cell,-20.756462,1.0,-0.0
Alp9,ensheathing glial cell,0.0,1.0,-0.0
Alr,ensheathing glial cell,-0.25636828,1.0,-0.0
Als2,ensheathing glial cell,0.75846,1.0,-0.0
Ama,ensheathing glial cell,-21.00051,1.0,-0.0
Amacr,ensheathing glial cell,-1.2755827,1.0,-0.0
Amnionless,ensheathing glial cell,19.459602,1.0,-0.0
Amph,ensheathing glial cell,0.017129058,1.0,-0.0
Amt,ensheathing glial cell,21.344315,1.0,-0.0
Amun,ensheathing glial cell,0.017785367,1.0,-0.0
Amy-d,ensheathing glial cell,-1.2348402,1.0,-0.0
Amy-p,ensheathing glial cell,21.279045,1.0,-0.0
Amyrel,ensheathing glial cell,19.3514,1.0,-0.0
Ance,ensheathing glial cell,-0.18695551,1.0,-0.0
Ance-2,ensheathing glial cell,0.0,1.0,-0.0
Ance-3,ensheathing glial cell,-0.16100813,1.0,-0.0
Ance-4,ensheathing glial cell,-0.6185698,1.0,-0.0
Ance-5,ensheathing glial cell,-1.1748748,1.0,-0.0
Andorra,ensheathing glial cell,0.0,1.0,-0.0
Ank,ensheathing glial cell,1.6033515,1.1556741839100788e-33,32.937164588125235
Ank2,ensheathing glial cell,0.051511284,1.0,-0.0
Ankle2,ensheathing glial cell,0.2881154,1.0,-0.0
Anp,ensheathing glial cell,0.0,1.0,-0.0
Ant2,ensheathing glial cell,0.18987004,1.0,-0.0
Antp,ensheathing glial cell,1.0944381,1.0,-0.0
AnxB10,ensheathing glial cell,0.07855031,1.0,-0.0
AnxB11,ensheathing glial cell,0.041950434,1.0,-0.0
AnxB9,ensheathing glial cell,0.42774123,0.028724817998346145,1.541742714339046
Aos1,ensheathing glial cell,-1.842748,1.0,-0.0
Apc,ensheathing glial cell,0.7591928,1.0,-0.0
Apc2,ensheathing glial cell,-2.3033674,1.0,-0.0
ApepP,ensheathing glial cell,1.4148958,1.0,-0.0
Apf,ensheathing glial cell,-0.20506607,1.0,-0.0
Apl,ensheathing glial cell,-3.3402975,1.0,-0.0
Aplip1,ensheathing glial cell,-1.3045539,1.0,-0.0
Apoltp,ensheathing glial cell,0.13417177,1.0,-0.0
Appl,ensheathing glial cell,-1.7478654,1.855206172867122e-12,11.73160781933036
Aprt,ensheathing glial cell,-1.3997014,1.0,-0.0
Aps,ensheathing glial cell,-0.08840925,1.0,-0.0
Arc1,ensheathing glial cell,0.41559073,1.0,-0.0
Arc2,ensheathing glial cell,0.76740366,1.0,-0.0
Arc42,ensheathing glial cell,-0.23408492,1.0,-0.0
Archease,ensheathing glial cell,0.12224635,1.0,-0.0
Arf102F,ensheathing glial cell,0.08347932,1.0,-0.0
Arf51F,ensheathing glial cell,-0.18478991,1.0,-0.0
Arf79F,ensheathing glial cell,0.49481934,0.4988245751086711,0.3020521586995503
ArfGAP1,ensheathing glial cell,-0.1338127,1.0,-0.0
ArfGAP3,ensheathing glial cell,-0.029955294,1.0,-0.0
Arfip,ensheathing glial cell,-0.810334,1.0,-0.0
Arfrp1,ensheathing glial cell,-0.77680355,1.0,-0.0
ArgRS,ensheathing glial cell,1.36215,1.0,-0.0
ArgRS-m,ensheathing glial cell,-0.55108505,1.0,-0.0
Argk,ensheathing glial cell,-0.48829308,1.0945731534511245e-05,4.960755207985051
Argl,ensheathing glial cell,-1.5045373,1.0,-0.0
Arl1,ensheathing glial cell,0.13214816,1.0,-0.0
Arl2,ensheathing glial cell,-0.8721793,1.0,-0.0
Arl4,ensheathing glial cell,0.46254998,0.4030040757521676,0.3946905616312846
